#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
358,Jose Trevino,CIN,51,143,155,33,23,6,1,3,16,15,8,0,23,1,1,1,0,0,0.229
359,Jorbit Vivas,WSN,82,278,319,65,48,12,2,3,37,26,29,1,44,9,2,1,5,3,0.233
360,Hyeseong Kim,LAD,75,219,237,52,39,7,2,4,29,29,13,0,68,3,2,1,15,1,0.239
361,Derek Hill,CHW,65,183,202,44,30,7,2,5,26,21,14,0,59,2,1,2,8,3,0.24
362,Tyler O'Neill,BAL,60,197,225,45,28,7,1,10,29,28,24,1,61,3,1,0,3,1,0.228
363,Richie Palacios,TBR,70,215,247,50,37,9,1,3,29,24,27,1,50,3,2,1,9,3,0.233
364,Henry Davis,PIT,68,216,245,45,28,10,1,7,27,26,20,1,58,6,1,1,3,1,0.208
365,Tyler Black,MIL,61,223,257,52,34,10,3,5,31,32,29,1,63,4,1,0,10,3,0.236
366,Sam Haggerty,TEX,64,159,179,38,27,7,2,2,22,17,16,1,40,3,1,1,9,2,0.241
367,Matt Vierling,DET,77,260,289,63,41,13,2,7,33,33,24,1,62,2,3,0,3,1,0.243
368,Joc Pederson,TEX,77,211,248,49,30,8,1,11,30,29,30,1,58,5,2,0,1,1,0.234
369,Chase DeLauter,CLE,45,162,183,41,26,10,0,5,21,24,19,0,26,0,1,0,1,1,0.255
370,Zach McKinstry,DET,83,249,279,57,38,11,3,5,30,25,24,1,58,3,2,1,8,2,0.23
371,Nick Allen,HOU,79,225,251,52,41,9,1,2,26,20,19,0,49,2,1,4,5,3,0.233
372,Donovan Walton,LAA,61,206,230,48,35,9,1,4,26,22,18,1,39,3,1,2,2,1,0.235
373,Jo Adell,LAA,94,325,355,76,45,13,1,18,39,55,20,1,96,7,2,0,4,2,0.234
374,Chad Stevens,COL,68,239,268,59,38,12,2,6,30,31,22,0,79,4,2,1,6,3,0.245
375,Graham Pauley,MIA,73,241,268,52,32,13,1,7,30,30,22,1,56,3,1,1,4,1,0.217
376,Miguel Amaya,CHC,54,153,173,36,24,7,1,5,18,22,14,0,37,5,1,1,0,0,0.237
377,Travis d'Arnaud,LAA,44,138,151,29,17,7,1,5,15,16,10,0,42,3,1,0,0,0,0.213
378,Starling Marte,KCR,53,172,191,46,34,8,1,3,20,17,13,0,41,4,1,1,5,1,0.27
379,Ryan Kreidler,MIN,63,193,223,40,25,9,1,5,26,22,24,0,67,3,1,2,6,3,0.205
380,Kevin Alcántara,CHC,63,227,249,53,36,10,1,6,28,28,19,0,81,2,2,0,4,2,0.235
381,Victor Robles,SEA,42,122,137,31,22,6,1,3,16,13,8,0,31,4,1,2,7,2,0.254
382,Drew Gilbert,SFG,77,269,300,62,40,12,2,7,31,32,23,0,58,5,2,0,3,2,0.23
383,Tanner Murray,CHW,72,260,280,62,42,13,1,6,29,30,14,0,65,3,2,1,2,1,0.237
384,Jhostynxon Garcia,PIT,66,241,264,57,37,10,2,7,33,28,17,0,74,3,2,1,3,1,0.236
385,Dylan Carlson,PHI,60,167,193,38,26,7,1,4,22,20,21,0,45,3,1,0,2,1,0.228
386,Andy Ibáñez,NYM,65,176,194,42,28,9,0,4,20,23,14,0,37,2,2,0,3,1,0.237
387,Nasim Nuñez,WSN,82,258,298,56,46,7,1,2,36,24,32,0,70,2,2,4,26,4,0.215
388,Luisangel Acuña,CHW,86,279,304,68,54,10,1,3,39,23,18,0,59,2,2,2,18,5,0.243
389,Keibert Ruiz,WSN,68,239,255,59,39,13,0,7,23,33,11,0,30,3,2,0,1,1,0.247
390,Dominic Canzone,SEA,81,255,280,63,39,13,1,11,35,38,21,1,63,2,2,0,2,1,0.248
391,Mark Vientos,NYM,87,313,341,77,47,15,1,14,36,48,23,0,87,3,2,0,1,0,0.245
392,Moisés Ballesteros,CHC,92,322,356,84,60,14,1,10,37,46,29,2,63,2,3,0,1,1,0.261
393,Yoán Moncada,LAA,63,198,225,45,28,8,1,7,24,25,24,1,68,3,1,0,1,0,0.226
394,Tyler Heineman,TOR,43,108,125,22,17,3,1,2,13,11,9,0,24,3,1,4,2,1,0.205
395,Edgar Quero,CHW,78,259,293,61,48,9,0,5,25,32,26,0,58,4,3,1,0,1,0.237
396,Zack Short,DET,72,208,245,40,25,9,0,6,28,28,31,0,70,3,1,1,2,2,0.19
397,Jerar Encarnacion,SFG,56,188,204,46,31,8,0,7,22,29,13,0,61,2,1,0,2,1,0.244
398,César Prieto,STL,70,265,286,67,47,14,1,4,32,31,13,0,43,4,2,2,3,4,0.253
399,Esmerlyn Valdez,PIT,70,257,287,61,37,13,1,10,32,40,23,0,87,6,2,0,1,1,0.237
400,Jhonny Pereda,SEA,45,135,153,31,24,6,0,2,14,13,16,0,36,1,1,1,1,0,0.232
401,Gavin Sheets,SDP,93,289,320,70,41,16,1,12,31,42,27,1,66,3,2,0,2,1,0.243
402,Hunter Feduccia,TBR,67,212,242,48,33,9,2,5,27,22,27,0,65,1,2,1,1,0,0.229
403,Jorge Polanco,NYM,69,243,274,60,37,11,0,12,31,37,27,1,54,2,1,1,2,1,0.246
404,Jonny DeLuca,TBR,65,211,230,51,33,11,2,5,26,28,14,1,46,3,1,1,8,2,0.24
405,Jorge Barrosa,ARI,79,275,307,61,39,16,2,4,34,29,26,1,73,2,2,3,4,3,0.221
406,Logan Porter,SFG,47,156,180,33,24,6,0,3,19,17,19,0,48,2,1,1,1,0,0.214
407,Joey Wiemer,WSN,73,220,247,48,30,11,1,6,29,27,23,1,75,3,1,0,6,2,0.217
408,Giancarlo Stanton,NYY,56,199,221,45,25,8,0,13,22,37,20,1,70,1,1,0,0,0,0.228
409,Myles Straw,TOR,87,224,250,53,40,9,2,2,34,19,20,0,45,1,2,4,8,1,0.237
410,Dominic Smith,ATL,77,244,268,62,43,11,1,8,31,34,19,1,53,4,2,0,2,0,0.256
411,Drew Millas,WSN,56,178,196,41,29,7,2,3,20,19,15,1,38,1,1,1,4,1,0.229
412,Luis Rengifo,MIL,87,300,328,71,52,12,2,6,32,35,22,0,57,3,2,1,7,3,0.238
413,Daniel Johnson,,57,195,211,46,29,9,1,7,26,25,13,0,54,2,1,0,5,2,0.235
414,Eric Haase,SFG,45,129,140,30,19,5,0,5,15,17,9,0,44,1,1,1,1,0,0.23
415,Nathan Church,STL,85,297,326,75,55,12,2,6,40,34,20,1,48,5,2,2,9,3,0.251
416,Tristan Peters,CHW,89,299,335,70,49,13,3,6,39,32,28,1,67,3,2,2,6,3,0.235
417,José Fermín,STL,65,184,213,43,29,10,0,3,24,22,23,1,25,4,1,2,5,2,0.232
418,Heriberto Hernández,MIA,76,246,281,56,35,10,1,10,31,39,29,0,81,3,2,1,5,2,0.226
419,Connor Wong,BOS,63,192,213,47,30,11,1,4,24,22,15,0,53,3,1,1,3,2,0.243
420,José Azócar,ATL,61,168,182,43,31,8,2,2,22,16,9,0,41,2,1,1,8,3,0.254
421,Marcelo Mayer,BOS,67,231,253,54,36,11,1,6,29,27,19,1,58,2,2,0,3,1,0.233
