#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
259,Kyle Higashioka,TEX,52,189,206,42,27,8,0,7,21,24,14,0,52,1,1,1,1,0,0.224
260,Paul Goldschmidt,NYY,54,209,234,51,32,10,0,9,28,30,21,1,55,2,2,1,3,0,0.246
261,Nolan Schanuel,LAA,77,290,331,75,54,14,0,6,38,32,33,1,49,5,3,1,3,1,0.258
262,Matt Vierling,DET,51,200,222,49,33,9,1,5,26,23,18,0,46,2,2,1,4,1,0.245
263,A.J. Ewing,NYM,57,219,247,50,35,9,2,4,30,21,24,0,64,1,2,1,13,3,0.229
264,Gavin Sheets,SDP,79,307,342,74,47,16,0,11,38,41,29,1,71,3,3,1,3,1,0.24
265,Jeff McNeil,ATH,78,302,339,76,54,17,1,5,38,33,26,0,46,6,3,2,4,1,0.253
266,Ty France,SDP,57,219,245,56,38,10,0,6,28,27,16,1,45,8,2,1,1,0,0.254
267,Josh Lowe,LAA,49,192,213,47,29,10,1,7,26,26,18,0,58,1,1,1,9,1,0.242
268,Jared Triolo,PIT,54,204,231,49,35,10,1,4,25,21,22,0,52,2,2,1,6,1,0.24
269,Nathan Lukes,TOR,49,193,213,49,34,10,1,4,24,22,15,0,36,2,2,1,2,1,0.253
270,Gabriel Arias,CLE,37,147,162,35,22,7,1,4,19,18,11,0,47,2,1,1,3,1,0.235
271,Jonny DeLuca,TBR,40,158,174,38,24,8,1,5,21,19,12,0,36,2,1,1,6,1,0.239
272,James Outman,MIN,40,152,172,33,19,7,1,6,21,20,16,0,57,3,1,1,5,1,0.219
273,Kyle Karros,COL,61,233,263,58,40,13,1,5,28,25,24,0,63,2,2,2,2,0,0.25
274,Mike Yastrzemski,ATL,65,248,281,55,34,11,1,9,34,33,28,0,69,3,2,1,3,1,0.223
275,Graham Pauley,MIA,35,134,150,31,19,7,0,4,16,17,12,0,33,1,1,1,2,1,0.232
276,Edgar Quero,CHW,47,166,189,40,28,8,0,4,20,18,18,0,38,3,1,1,1,0,0.239
277,Parker Meadows,DET,34,130,145,30,19,6,2,4,20,15,13,0,35,1,1,1,4,1,0.234
278,Trevor Larnach,MIN,63,239,272,58,38,12,1,8,32,31,28,1,64,3,2,1,3,1,0.242
279,Masataka Yoshida,BOS,45,173,194,48,33,10,0,5,23,22,16,0,26,3,2,1,2,0,0.277
280,Carlos Cortes,ATH,60,233,261,56,35,12,0,8,29,31,23,0,54,1,2,1,1,0,0.238
281,Trevor Story,BOS,51,203,222,47,31,10,0,6,23,25,14,0,62,2,2,1,8,1,0.233
282,Austin Martin,MIN,63,234,272,56,41,12,0,3,30,23,30,0,48,6,2,1,11,3,0.241
283,Nasim Nuñez,WSN,57,215,245,48,38,7,0,2,23,16,26,0,55,1,2,2,22,4,0.222
284,Rhys Hoskins,CLE,64,242,279,54,32,12,0,10,31,33,31,1,75,3,2,1,2,1,0.223
285,Drew Millas,WSN,41,146,162,35,25,6,1,3,17,14,13,0,30,1,1,1,3,1,0.239
286,Matt Shaw,CHC,28,109,122,27,17,5,1,4,15,14,10,0,24,1,1,0,5,1,0.243
287,Gavin Lux,TBR,41,158,179,38,26,8,1,3,21,17,19,0,41,1,1,1,1,0,0.243
288,David Hamilton,MIL,52,202,226,43,30,7,2,5,26,20,20,0,55,1,2,1,20,4,0.214
289,Luis Rengifo,MIL,66,261,287,64,45,11,1,6,32,28,21,0,49,3,2,1,8,3,0.246
290,Cedric Mullins,TBR,77,299,334,66,44,14,1,7,36,32,28,0,73,3,2,2,17,4,0.222
291,Luisangel Acuña,CHW,57,228,247,56,42,10,1,3,25,21,15,0,50,1,2,2,15,4,0.245
292,Ramón Urías,STL,38,146,163,37,25,7,0,5,18,18,13,0,34,2,1,1,1,1,0.25
293,Jorge Soler,LAA,85,323,367,73,42,15,0,16,42,48,37,1,101,4,2,1,1,0,0.225
294,Davis Schneider,TOR,25,93,109,21,12,4,0,4,13,13,14,0,30,1,1,0,2,0,0.222
295,Daniel Schneemann,CLE,49,188,211,41,27,9,0,5,22,21,20,0,55,1,1,1,5,1,0.219
296,TJ Friedl,CIN,60,226,259,53,37,9,1,5,31,23,24,0,47,6,2,1,6,2,0.234
297,Joey Bart,PIT,35,121,137,29,20,5,0,3,15,14,12,0,39,3,1,1,1,0,0.238
298,Jake Rogers,DET,25,89,100,20,12,4,0,3,11,11,8,0,28,1,1,1,1,0,0.219
299,Alan Roden,MIN,33,123,141,30,21,6,0,3,16,14,13,0,25,3,1,1,2,1,0.246
300,Yoán Moncada,LAA,44,167,191,39,25,8,1,6,23,22,19,0,53,2,1,1,1,0,0.235
301,Drew Romo,CHW,39,143,155,32,22,6,0,4,15,16,8,0,37,1,1,1,2,1,0.227
302,Joey Loperfido,HOU,53,206,229,48,31,10,1,6,26,25,16,0,64,4,2,1,5,2,0.233
303,Ke'Bryan Hayes,CIN,32,126,139,30,21,5,0,3,15,13,10,0,27,1,1,1,3,1,0.24
304,Esteury Ruiz,MIA,30,117,132,28,19,6,1,3,15,13,10,0,30,3,1,1,14,3,0.243
305,Blaze Alexander,BAL,47,181,204,40,27,8,1,5,23,21,16,0,61,4,1,1,4,2,0.223
