Date,Home,Away,Home_Score,Away_Score,Total_Score,Home_Win,Over_8,Over_4,F5_Home_Score,F5_Away_Score,F5_Total_Score,F5_Home_Win,F1_Home_Score,F1_Away_Score,F1_Total_Score,Any_Runs,Home_Win_Prob,Over_8_Prob,Over_4_Prob,RIFI_Prob
5/14/25,ATL,WSH,4,5,9,0,1,1,4,1,5,1,0,1,1,1,0.59,0.56,0.55,0.53
5/15/25,ATL,WSH,5,2,7,1,0,0,4,0,4,1,0,0,0,0,0.6,0.42,0.43,0.46
5/15/25,TEX,HOU,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.6,0.34,0.39,0.44
5/15/25,TOR,TB,3,8,11,0,1,1,2,5,7,0,0,2,2,1,0.64,0.51,0.52,0.53
5/16/25,AZ,COL,8,0,8,1,0,1,5,0,5,1,0,0,0,0,0.79,0.54,0.56,0.52
5/16/25,MIL,MIN,0,3,3,0,0,0,0,3,3,0,0,2,2,1,0.53,0.52,0.51,0.49
5/16/25,LAD,LAA,2,6,8,0,0,1,1,4,5,0,0,2,2,1,0.7,0.73,0.7,0.61
5/16/25,KC,STL,3,10,13,0,1,1,2,3,5,0,0,0,0,0,0.58,0.33,0.38,0.46
5/16/25,CIN,CLE,5,4,9,1,1,1,5,3,8,1,0,0,0,0,0.43,0.5,0.49,0.48
5/16/25,BAL,WSH,3,4,7,0,0,0,2,1,3,1,0,0,0,0,0.51,0.41,0.44,0.47
5/16/25,BOS,ATL,2,4,6,0,0,0,0,2,2,0,0,0,0,0,0.54,0.23,0.3,0.4
5/17/25,SF,ATH,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.46,0.49,0.49,0.47
5/17/25,TEX,HOU,5,1,6,1,0,0,1,1,2,0,0,1,1,1,0.58,0.54,0.54,0.5
5/17/25,KC,STL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.56,0.45,0.47,0.51
