#,Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,HBP,SO
500,Jesse Scholtens,TBR,1,2,4.45,12,3,27,117,28,14,13,4,9,1,22
501,Rob Zastryzny,MIL,1,1,3.96,27,0,27,115,25,13,12,3,11,1,25
502,Chris Roycroft,STL,1,1,4.21,27,0,26.2,118,27,14,12,3,12,1,20
503,Zach Thornton,NYM,2,2,3.96,12,3,26.1,113,26,13,12,3,9,1,22
504,Zack Kelly,BOS,1,1,4.25,26,0,26.1,115,25,13,12,3,12,1,25
505,Chase Petty,CIN,1,2,4.91,17,2,26.1,117,28,15,14,4,11,1,20
506,José Suarez,ATH,1,1,3.78,26,0,26.1,111,24,12,11,3,10,1,26
507,Jordan Hicks,CHW,1,1,3.95,26,0,26.1,114,24,13,11,3,13,2,24
508,Yerry De los Santos,NYY,1,1,3.81,26,0,26.1,113,25,12,11,3,11,1,22
509,Ryan Lambert,NYM,1,1,4,26,0,26.1,114,22,12,12,3,15,1,30
510,Eric Cerantola,KCR,1,1,4.33,26,0,26.1,116,24,14,13,3,14,2,26
511,Luke Little,CHC,1,1,3.64,26,0,26,114,21,12,10,2,16,2,28
512,Nick Raquet,BAL,1,1,4.29,26,0,26,113,27,13,12,3,10,1,20
