#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
709,Trevor Richards,CHW,1,1,4.9,30,0,0,2,,21.1,93,19,12,12,4,10,0,1,21
710,Jonathan Hernández,LAD,1,1,5.07,29,0,0,3,,19,85,19,11,11,3,10,0,1,17
711,Isaac Mattson,PIT,1,1,5.03,33,0,0,0,,23.2,105,22,14,13,4,12,1,1,20
712,Chase Petty,CIN,1,1,5.46,17,2,0,0,,24,108,25,16,15,4,11,1,1,18
713,Brennan Bernardino,COL,1,1,5.76,40,0,1,8,,30,137,35,21,19,4,12,1,3,25
714,Blas Castaño,COL,1,1,5.73,26,0,0,0,,19.1,89,22,13,12,2,9,1,2,14
715,Scott Barlow,ATH,1,1,5.22,41,0,3,9,,29.1,132,28,18,17,4,15,1,3,28
716,Jose Franco,CIN,1,1,5.28,24,0,0,0,,16.1,73,16,10,10,3,8,0,1,16
717,Luis Medina,ATH,2,2,5.38,36,2,1,4,,45,205,46,29,27,6,25,1,3,41
718,Sam Aldegheri,LAA,1,2,5.48,23,3,0,0,,35.1,160,37,23,22,6,17,1,2,26
719,Tony Santillan,CIN,1,1,5.2,45,0,4,8,,31.2,141,31,20,18,5,16,1,2,32
720,Joey Estes,ATH,1,1,5.71,17,1,0,0,,20.2,92,23,14,13,4,7,1,1,15
721,Luis Gil,NYY,2,2,5.29,21,4,0,0,,36,161,33,22,21,6,20,0,3,28
722,Hogan Harris,ATH,1,1,5.31,43,0,9,7,,30.2,140,31,19,18,4,16,1,2,28
723,Eric Lauer,LAD,2,1,5.35,27,2,0,0,,33,146,34,21,20,6,13,1,1,27
724,Connor Seabold,TOR,1,1,5.42,31,0,0,5,,21.2,97,23,14,13,4,9,1,1,17
725,Tejay Antone,CIN,1,1,5.51,39,0,1,7,,27.1,124,29,18,17,4,14,1,2,25
726,Max Scherzer,TOR,4,6,5.94,20,13,0,0,,68.1,302,72,48,45,16,27,0,3,52
727,Keegan Thompson,COL,1,1,5.91,34,0,0,4,,25.1,117,28,18,17,4,13,1,2,21
728,Antonio Senzatela,COL,2,2,6.09,45,1,8,6,,53,244,67,39,36,7,21,1,3,34
729,Tyron Guerrero,BOS,1,1,5.74,35,0,0,5,,24.2,114,25,17,16,4,15,0,2,24
730,Jonathan Heasley,TBR,1,1,5.78,30,0,0,0,,22.2,101,24,16,14,5,9,1,1,16
731,Tim Hill,NYY,2,1,5.17,43,0,1,11,,30,133,35,19,17,4,10,1,1,13
732,Tomoyuki Sugano,COL,4,8,6.69,18,18,0,0,,88.1,401,115,70,66,19,27,0,3,52
