#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,SO%
275,Matt Waldron,SDP,3,5,5.07,13,12,,,,63,272,65,39,36,10,20,,4,52,0.191
276,Matt Strahm,KCR,2,2,3.69,35,1,,,,35,147,30,16,14,4,11,,2,37,0.252
277,Eric Orze,MIN,2,2,3.82,33,0,,,,41,177,37,19,17,3,19,,1,41,0.232
278,Paxton Schultz,WSN,3,3,4.33,22,4,,,,46,200,46,24,22,6,18,,1,43,0.215
279,DL Hall,MIL,1,1,4.2,22,7,,,,42,186,37,21,20,4,24,,2,44,0.237
280,Hunter Barco,PIT,1,2,4.55,15,10,,,,47,207,46,26,24,6,22,,5,44,0.213
281,Sam Hentges,SFG,1,1,3.43,26,1,,,,25,105,22,10,9,2,9,,1,24,0.229
282,Mason Black,KCR,2,4,4.93,16,12,,,,57,253,58,34,31,8,25,,4,48,0.19
283,Cristian Javier,HOU,3,3,4.6,10,10,,,,49,211,43,27,25,7,24,,2,45,0.213
284,JR Ritchie,ATL,3,4,4.62,14,14,,,,67,290,64,37,34,9,27,,6,59,0.203
285,Tyler Alexander,TEX,3,5,4.76,28,4,,,,57,243,58,33,30,8,15,,2,47,0.193
286,Trey Gibson,BAL,3,4,4.78,13,11,,,,56,244,55,32,30,8,21,,4,49,0.201
287,Colton Gordon,HOU,3,4,4.74,15,12,,,,63,274,66,36,33,11,19,,3,54,0.197
288,Cooper Criswell,SEA,3,3,4.28,20,8,,,,55,233,55,28,26,7,17,,4,46,0.197
289,Jovani Morán,BOS,2,2,4.2,25,3,,,,33,142,29,17,15,3,15,,1,37,0.261
290,Camilo Doval,NYY,2,2,3.95,43,0,,,,40,168,33,19,17,4,17,,2,44,0.262
291,Kevin Ginkel,ARI,3,2,3.52,34,0,,,,32,137,29,14,13,3,11,,1,35,0.255
292,Eduardo Rivera,BOS,2,3,4.65,11,7,,,,40,178,38,23,21,5,20,,2,37,0.208
293,Jack Kochanowicz,LAA,3,6,5.2,17,16,,,,85,376,90,53,49,11,35,,7,56,0.149
294,Max Scherzer,TOR,3,4,4.74,11,11,,,,54,228,53,31,28,10,16,,2,49,0.215
295,Doug Nikhazy,CHC,2,4,5.17,11,10,,,,44,203,48,28,25,6,25,,2,39,0.192
296,Hunter Gaddis,CLE,2,2,3.82,33,3,,,,45,189,40,21,19,6,15,,2,43,0.228
297,Luis Medina,ATH,2,3,4.74,15,7,,,,42,186,40,24,22,4,20,,3,38,0.204
298,Jesse Scholtens,TBR,2,4,4.87,14,8,,,,53,231,56,31,29,9,17,,2,44,0.19
299,Sammy Peralta,COL,1,3,5.77,16,3,,,,34,155,43,24,22,4,11,,2,28,0.181
300,Mark Leiter Jr.,ATH,3,2,3.94,35,1,,,,34,146,31,16,15,4,13,,2,37,0.253
301,Jordan Hicks,CHW,2,3,4.88,24,6,,,,44,196,43,26,24,4,23,,3,40,0.204
302,AJ Blubaugh,HOU,4,5,4.63,22,10,,,,69,302,66,38,35,10,31,,2,61,0.202
303,Peyton Gray,TEX,3,4,4.26,24,1,,,,38,159,34,19,18,5,14,,1,39,0.245
304,Javier Assad,CHC,3,3,4.23,14,11,,,,61,261,59,31,28,8,23,,2,47,0.18
305,J.P. France,HOU,2,2,4.32,10,6,,,,41,178,40,21,19,5,17,,1,37,0.208
306,George Klassen,LAA,3,5,4.99,12,12,,,,53,232,52,32,29,7,24,,3,49,0.211
307,Lance McCullers Jr.,HOU,2,3,4.66,11,10,,,,47,209,44,27,24,6,25,,3,48,0.23
308,Bryan Hudson,CHW,2,2,4.31,33,2,,,,36,156,34,19,17,3,15,,2,35,0.224
309,Walbert Ureña,LAA,3,6,5.12,16,15,,,,74,333,75,46,42,9,39,,5,58,0.174
310,Gordon Graceffo,STL,3,4,4.48,27,7,,,,60,258,61,32,30,7,20,,2,46,0.178
311,Brooks Raley,NYM,2,1,3.71,31,1,,,,27,113,22,12,11,2,10,,3,28,0.248
312,Hunter Harvey,CHC,2,1,3.24,24,0,,,,25,102,21,10,9,3,6,,1,28,0.275
313,Luinder Avila,KCR,2,3,4.47,16,8,,,,49,216,47,27,24,5,22,,3,42,0.194
314,Ryan Walker,SFG,3,3,3.59,39,1,,,,38,162,34,17,15,3,14,,3,40,0.247
315,Chase Solesky,TBR,2,3,5.08,12,11,,,,52,230,57,32,29,8,19,,2,36,0.157
316,Ty Madden,DET,1,2,4.68,11,8,,,,46,201,46,26,24,6,19,,2,41,0.204
317,Huascar Brazobán,NYM,2,2,4.07,34,2,,,,40,173,36,20,18,3,18,,2,39,0.225
318,Robert Garcia,TEX,3,2,3.72,34,0,,,,32,134,27,14,13,3,12,,1,35,0.261
319,Brady Basso,ATH,2,2,4.45,13,7,,,,38,165,39,20,19,5,12,,1,31,0.188
320,Jack Anderson,BOS,2,2,4.47,15,3,,,,39,170,42,21,20,5,11,,1,32,0.188
321,Chase Silseth,LAA,2,2,4.34,22,6,,,,40,175,37,21,19,5,20,,2,42,0.24
