Date,Home,Away,Home_Runs_In1,Home_OB_In1,Home_SO_In1,Home_Runs_In2,Home_OB_In2,Home_SO_In2,Home_Runs_In3,Home_OB_In3,Home_SO_In3,Home_Runs_In4,Home_OB_In4,Home_SO_In4,Home_Runs_In5,Home_OB_In5,Home_SO_In5,Home_Runs_In6,Home_OB_In6,Home_SO_In6,Home_Runs_In7,Home_OB_In7,Home_SO_In7,Home_Runs_In8,Home_OB_In8,Home_SO_In8,Home_Runs_In9,Home_OB_In9,Home_SO_In9,Away_Runs_In1,Away_OB_In1,Away_SO_In1,Away_Runs_In2,Away_OB_In2,Away_SO_In2,Away_Runs_In3,Away_OB_In3,Away_SO_In3,Away_Runs_In4,Away_OB_In4,Away_SO_In4,Away_Runs_In5,Away_OB_In5,Away_SO_In5,Away_Runs_In6,Away_OB_In6,Away_SO_In6,Away_Runs_In7,Away_OB_In7,Away_SO_In7,Away_Runs_In8,Away_OB_In8,Away_SO_In8,Away_Runs_In9,Away_OB_In9,Away_SO_In9,Home_Runs_Total,Away_Runs_Total,Runs_Total,Total_After_5,Over_45,Over_85,Over_Then_Under,Under_Then_Over
8/20/25,ATL,CWS,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,1,1,0,0,2,0,1,2,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0
8/20/25,MIA,STL,0,1,0,1,3,0,2,3,1,0,2,2,1,3,1,1,1,1,0,1,1,1,4,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,1,2,1,1,2,0,0,1,3,0,0,2,0,0,2,6,2,8,5,1,0,1,0
8/20/25,DET,HOU,6,7,0,0,1,1,1,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,2,2,2,0,1,2,0,0,2,0,1,0,0,1,1,0,0,1,7,2,9,9,1,1,0,0
8/21/25,TB,STL,1,3,0,0,0,2,2,2,1,0,0,2,0,2,1,0,3,0,1,4,1,0,0,2,0,1,1,0,3,0,5,5,1,0,0,2,1,2,2,0,3,0,0,0,2,1,1,0,0,1,1,0,0,0,4,7,11,9,1,1,0,0
8/21/25,SD,SF,0,0,0,0,0,2,0,0,1,2,3,1,6,7,1,0,1,0,0,2,1,0,0,1,0,0,0,0,1,0,0,1,2,2,2,0,0,1,3,0,1,2,2,3,0,0,1,1,0,1,1,0,0,2,8,4,12,10,1,1,0,0
8/21/25,COL,LAD,1,1,0,0,1,0,0,0,1,1,2,1,0,0,1,1,4,0,0,1,1,2,2,1,0,1,2,2,2,1,2,5,2,1,2,2,2,3,0,1,2,1,0,0,1,0,1,0,1,3,1,0,1,1,5,9,14,10,1,1,0,0
8/21/25,WSH,NYM,0,0,2,0,0,3,0,1,2,1,2,1,3,4,0,1,2,3,0,0,2,4,5,1,0,0,0,1,1,3,0,2,2,1,2,0,1,3,0,0,2,1,0,0,0,0,0,1,0,1,2,0,1,2,9,3,12,7,1,1,0,0
8/21/25,CHC,MIL,0,1,1,0,3,0,0,0,1,0,2,2,1,3,0,0,1,1,0,1,1,0,2,1,0,1,1,0,1,0,2,2,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,2,4,1,0,1,1,1,4,5,3,0,0,0,0
8/21/25,MIN,ATH,0,0,0,0,0,1,0,1,1,2,5,0,0,2,0,0,0,2,0,0,1,0,0,1,1,2,2,0,1,1,6,8,0,0,0,1,0,1,0,0,1,1,1,2,1,1,3,1,0,1,0,0,0,1,3,8,11,8,1,1,0,0
8/21/25,NYY,BOS,0,1,1,1,2,2,0,2,1,1,2,0,1,4,1,0,1,0,0,1,1,0,0,0,0,0,0,0,2,1,1,2,0,0,1,1,0,1,0,1,3,1,1,3,0,1,4,2,0,2,0,2,1,0,3,6,9,5,1,1,0,0
8/21/25,BAL,HOU,0,2,1,1,2,1,0,1,0,0,0,1,0,1,0,1,3,1,0,0,1,0,1,1,0,2,1,2,3,0,2,3,0,3,3,0,0,1,1,0,1,0,0,0,1,0,1,0,0,2,0,0,1,0,2,7,9,8,1,1,0,0
8/21/25,KC,TEX,0,2,1,1,2,1,1,2,0,2,3,0,1,2,0,0,1,2,1,4,1,0,1,1,0,0,0,0,1,2,0,1,2,1,3,0,0,2,1,3,4,1,0,0,1,0,2,2,0,0,2,0,0,1,6,4,10,9,1,1,0,0
8/22/25,TB,STL,1,4,0,2,2,1,2,5,0,2,3,1,0,1,2,0,0,1,2,2,1,1,3,0,0,0,0,0,0,0,1,2,0,0,0,1,0,2,1,0,1,0,1,2,0,4,5,1,0,0,1,0,0,2,10,6,16,8,1,1,0,0
8/22/25,MIL,SF,0,0,1,0,1,0,0,2,0,2,4,0,0,2,2,0,0,2,2,4,1,0,0,2,1,1,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,1,0,3,2,0,1,1,1,1,0,1,2,2,5,4,9,4,0,1,0,1
8/22/25,AZ,CIN,1,2,1,0,3,1,3,2,1,0,1,2,0,0,1,0,0,1,0,1,0,0,0,2,0,1,1,0,1,2,2,4,1,0,0,2,0,0,0,0,0,1,1,1,0,0,0,1,1,2,0,0,0,0,4,4,8,6,1,0,1,0
8/22/25,SD,LAD,0,0,0,0,1,1,0,1,1,2,4,0,0,2,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,2,0,0,1,0,1,0,0,0,1,0,2,0,0,2,2,2,1,3,3,0,0,0,0
8/22/25,PIT,COL,2,5,2,3,4,2,0,1,0,0,2,0,0,1,0,3,3,0,0,1,0,1,1,2,0,0,0,0,0,2,0,0,1,0,1,1,0,1,2,0,0,0,0,1,2,0,0,0,0,1,1,0,1,0,9,0,9,5,1,1,0,0
8/22/25,SEA,ATH,0,0,1,0,0,1,0,0,2,0,0,1,1,2,1,0,0,0,2,2,1,0,1,1,0,0,0,1,1,2,0,0,1,0,1,1,0,1,0,0,0,1,0,0,2,0,0,0,0,1,2,1,4,2,3,2,5,2,0,0,0,0
8/22/25,CWS,MIN,1,4,1,0,0,0,0,1,3,1,3,0,2,3,0,0,3,1,0,0,1,3,6,0,0,0,0,0,1,2,0,1,1,0,1,1,4,5,1,0,2,0,2,4,0,2,2,2,0,1,1,1,3,2,7,9,16,8,1,1,0,0
8/22/25,LAA,CHC,0,0,1,0,0,0,0,1,1,0,0,0,1,2,1,0,2,1,1,1,3,0,0,0,0,0,2,1,1,1,0,0,2,1,3,1,0,0,0,0,1,1,0,2,3,0,0,0,0,1,2,1,1,0,2,3,5,3,0,0,0,0
8/22/25,TEX,CLE,0,0,1,0,0,0,0,1,2,0,0,0,1,1,0,1,1,0,0,1,2,0,0,0,2,3,0,0,1,1,1,2,1,0,0,0,0,0,2,0,0,2,0,0,1,0,1,2,2,4,3,0,0,1,4,3,7,2,0,0,0,0
