#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
155,Kyle Freeland,COL,5,8,5.84,18,18,0,0,,100.1,447,122,70,65,18,29,0,4,74
156,Drew Anderson,DET,2,2,3.91,44,2,2,9,,54.2,235,43,26,24,6,28,1,3,68
157,Nick Pivetta,SDP,2,2,3.97,5,5,0,0,,28.2,119,24,14,13,4,9,0,1,31
158,Jhoan Duran,PHI,2,1,3.3,44,0,20,1,,33.2,139,29,13,12,3,10,1,2,37
159,Kai-Wei Teng,HOU,3,3,4.38,36,6,0,0,,59,258,53,31,29,7,28,1,5,64
160,Garrett Whitlock,BOS,2,1,3.51,47,0,1,8,,33.1,137,29,14,13,3,9,1,1,36
161,Chase Dollander,COL,3,5,5.26,18,12,0,0,,63,280,66,39,37,9,29,0,4,57
162,Reynaldo López,ATL,3,3,4.77,41,6,0,4,,62.2,270,61,35,33,8,24,1,2,58
163,Trevor McDonald,SFG,2,3,4.31,16,7,0,0,,41,177,41,21,20,4,15,0,3,32
164,Justin Wrobleski,LAD,5,4,4.95,25,12,0,0,,68.2,297,73,40,38,10,23,0,2,51
165,Joe Boyle,TBR,3,3,4.39,21,7,0,0,,48,208,39,25,23,5,27,1,3,50
166,Anthony Kay,CHW,4,7,5.28,16,16,0,0,,90.1,400,93,57,53,14,41,0,5,69
167,Brad Lord,WSN,2,2,4.06,46,2,2,9,,54.2,233,53,27,25,6,18,1,3,44
168,Andrés Muñoz,SEA,2,1,3.33,41,0,18,3,,30.2,127,24,12,11,3,12,1,2,37
169,Peter Lambert,HOU,3,4,4.64,21,9,0,0,,54.1,235,53,30,28,8,21,0,3,48
170,Shane Smith,CHW,2,4,4.72,9,9,0,0,,47.1,205,46,27,25,7,19,0,3,42
171,Chad Patrick,MIL,3,4,4.75,36,8,0,0,,66.2,288,64,38,35,11,25,1,3,60
172,Walbert Ureña,LAA,4,5,4.73,23,12,0,0,,68,299,65,38,36,8,34,1,4,55
173,Colin Rea,CHC,5,5,4.86,22,14,0,0,,73.2,315,74,43,40,12,23,0,3,53
174,Clay Holmes,NYM,2,2,4.04,12,6,0,0,,34.1,147,33,17,15,3,13,0,2,27
175,José A. Ferrer,SEA,2,1,3.57,43,0,2,10,,32,134,31,14,13,2,9,1,1,27
176,Ryan Feltner,COL,4,7,5.69,20,15,0,0,,79,351,88,53,50,12,32,0,3,62
177,Zack Littell,WSN,4,7,5.2,17,17,0,0,,91,390,99,56,53,18,22,0,3,56
178,Hurston Waldrep,ATL,2,3,4.95,8,8,0,0,,42.1,184,43,25,23,5,18,0,2,33
179,Adrian Morejon,SDP,1,1,3.49,44,0,1,9,,29.2,123,26,12,12,3,9,1,1,29
180,Ryan Gusto,MIA,2,3,4.65,18,6,0,0,,40.2,175,40,23,21,6,15,1,2,34
181,Jacob Latz,TEX,2,1,3.82,45,1,13,4,,49.1,209,39,23,21,5,23,1,2,47
182,Tyler Phillips,MIA,3,4,4.82,35,7,0,0,,62,271,64,36,33,7,24,1,3,47
